created_at,entry_id,field1,field2,field3,field4,field5,field6,,,,,,,,,,
2025-03-16T05:51:32+00:00,1,28.45,28,28.27,100,100,100,,,,,AVERAGE PRESSURE AND TEMPERATURE ANALYSIS OF PERSON,,,,,
2025-03-16T05:51:53+00:00,2,32.39561,28.39,31.2674,100,100,100,,,,,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3
2025-03-16T05:52:15+00:00,3,32.31502,30.78388,33.04029,100,100,100,,,,,29.77405217,29.19248913,30.23390826,113.3021739,102.7043474,126.3978261
2025-03-16T05:52:36+00:00,4,28.13,28.31,28.28,5.95,100,100,,,,,,,,,,
2025-03-16T05:52:57+00:00,5,28.41,28.21,28.48,100,100,100,,,,,,,,,,
2025-03-16T05:53:19+00:00,6,28.13,28.26,28.3,100,100,100,,,,,,,,,,
2025-03-16T05:53:40+00:00,7,28.25,28.47,28.22,100,100,100,,,,,,,,,,
2025-03-16T05:54:01+00:00,8,32.95971,31.75092,31.10623,100,100,100,,,,,,,,,,
2025-03-16T05:54:23+00:00,9,28.44,28.32,30.86447,100,100,100,,,,,,,,,,
2025-03-16T05:54:44+00:00,10,28.23,28.32,28.45,100,100,100,,,,,,,,,,
2025-03-16T05:55:06+00:00,11,28.38,28.47,33.84615,100,100,100,,,,,,,,,,
2025-03-16T05:55:27+00:00,12,28.07,28.38,28.29,100,100,100,,,,,,,,,,
2025-03-16T05:55:49+00:00,13,33.52381,31.8315,34.81319,100,100,500,,,,,,,,,,
2025-03-16T05:56:10+00:00,14,28.48,28.41,28.06,100,100,100,,,,,,,,,,
2025-03-16T05:56:32+00:00,15,28.38,28.45,28.31,100,100,100,,,,,,,,,,
2025-03-16T05:56:53+00:00,16,34.7326,31.42857,33.36264,100,100,100,,,,,,,,,,
2025-03-16T05:57:15+00:00,17,28.16,28.24,28.02,100,100,100,,,,,,,,,,
2025-03-16T05:57:37+00:00,18,28.12,31.99267,34.65202,100,100,100,,,,,,,,,,
2025-03-16T05:57:58+00:00,19,28.03,28,28.26,500,129.53333,203.2,,,,,,,,,,
2025-03-16T05:58:20+00:00,20,32.07326,28.05,30.13919,100,132.66666,193,,,,,,,,,,
2025-03-16T05:58:41+00:00,21,28.22,28.1,28.68864,100,100,100,,,,,,,,,,
2025-03-16T05:59:03+00:00,22,34.81319,32.95971,34.32967,100,100,110.95,,,,,,,,,,
2025-03-16T05:59:24+00:00,23,28.11,28.3,28.33,100,100,100,,,,,,,,,,
