created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-03-18T14:24:29+00:00,1,35.53846,28.23000,31.50916,104.40000,134.53333,201.60002,,,,
2025-03-18T14:24:52+00:00,2,36.02198,32.15385,34.97436,101.30000,131.83333,199.39999,,,,
2025-03-18T14:25:14+00:00,3,35.13553,28.29000,32.55678,101.00001,135.20000,202.70001,,,,
2025-03-18T14:25:36+00:00,4,35.61905,28.17000,33.12088,101.10000,134.70000,199.39999,,,,
2025-03-18T14:26:21+00:00,5,37.15018,35.86081,37.23077,100.90000,131.59999,201.89999,,,,
2025-03-18T14:27:07+00:00,6,35.78022,31.02564,34.65202,101.60000,133.89999,201.00002,,,,
2025-03-18T14:27:29+00:00,7,36.02198,31.02564,34.08791,101.30001,135.10001,199.89999,,,,
2025-03-18T14:27:50+00:00,8,37.39194,37.39194,38.11721,99.30000,133.69998,199.89999,,,,
2025-03-18T14:28:12+00:00,9,35.69963,28.02000,34.24908,101.70000,131.09999,201.00000,,,,
2025-03-18T14:28:34+00:00,10,36.66666,37.63370,38.11721,101.30000,133.89998,199.50000,,,,
2025-03-18T14:29:20+00:00,11,34.89378,30.13919,33.36264,102.70000,133.20000,199.60001,,,,
2025-03-18T14:29:41+00:00,12,37.39194,36.26374,37.23077,104.30000,131.43333,198.10001,,,,
2025-03-18T14:30:04+00:00,13,34.73260,28.36000,31.58974,101.60000,132.39998,200.00000,,,,
2025-03-18T14:30:27+00:00,14,37.31136,36.50549,37.87546,104.00000,131.43333,199.50000,,,,
2025-03-18T14:30:49+00:00,15,33.68498,28.02000,32.31502,101.00001,132.16666,202.30002,,,,
2025-03-18T14:31:11+00:00,16,33.28205,28.38000,30.78388,102.90000,130.66666,196.89999,,,,
2025-03-18T14:31:32+00:00,17,36.34432,36.26374,37.39194,101.20000,133.89998,199.20001,,,,
2025-03-18T14:31:54+00:00,18,36.66666,36.58608,37.71429,103.30000,133.30000,200.00002,,,,
2025-03-18T14:32:15+00:00,19,32.39561,28.46000,30.05861,103.40000,132.33333,201.10001,,,,
2025-03-18T14:32:37+00:00,20,36.98901,37.39194,38.35897,101.60000,134.80000,196.10001,,,,
2025-03-18T14:32:59+00:00,21,34.57143,31.75092,34.81319,100.10001,134.43333,198.89999,,,,
2025-03-18T14:33:24+00:00,22,34.57143,32.07326,34.65202,104.40000,135.00000,198.20000,,,,
2025-03-18T14:33:46+00:00,23,36.10256,35.69963,37.63370,100.70000,133.73332,198.60001,,,,
2025-03-18T14:34:07+00:00,24,35.05494,36.18315,37.47253,99.10000,134.00000,199.00000,,,,
2025-03-18T14:34:30+00:00,25,35.61905,35.86081,37.47253,99.30001,135.60001,200.60001,,,,
2025-03-18T14:34:52+00:00,26,33.76557,32.23443,34.65202,100.90000,134.23332,202.20001,,,,
2025-03-18T14:35:14+00:00,27,33.92674,32.39561,34.81319,101.90000,134.56665,198.50000,,,,
2025-03-18T14:35:36+00:00,28,34.49084,32.63736,34.97436,100.90000,132.96666,199.20000,,,,
2025-03-18T14:35:57+00:00,29,36.10256,36.02198,37.55311,102.60000,131.09999,200.70001,,,,
