created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-03-16T05:40:01+00:00,1,35.86081,32.47619,34.81319,100.00000,137.16666,198.10001,,,,
2025-03-16T05:40:22+00:00,2,35.86081,29.65568,35.86081,100.00000,130.93333,204.50002,,,,
2025-03-16T05:40:44+00:00,3,36.10256,31.67033,35.37729,100.00000,128.86665,196.60002,,,,
2025-03-16T05:41:05+00:00,4,34.81319,28.35000,33.60439,100.00000,129.66666,204.50000,,,,
2025-03-16T05:41:27+00:00,5,33.44322,28.19000,29.17216,101.20000,134.13333,200.80002,,,,
2025-03-16T05:41:48+00:00,6,35.37729,28.45000,33.28205,100.00000,500.00000,198.80000,,,,
2025-03-16T05:42:09+00:00,7,34.81319,28.23000,35.21612,101.40000,131.96666,198.60001,,,,
2025-03-16T05:42:31+00:00,8,35.29670,28.20000,33.12088,101.60000,130.39998,205.80002,,,,
2025-03-16T05:42:52+00:00,9,35.94139,28.45000,35.21612,100.00000,132.39998,198.30000,,,,
2025-03-16T05:43:14+00:00,10,37.23077,32.63736,34.73260,100.60001,129.33333,196.39999,,,,
2025-03-16T05:43:35+00:00,11,34.73260,28.24000,33.12088,103.40001,135.80000,194.50000,,,,
2025-03-16T05:43:56+00:00,12,35.37729,32.47619,34.97436,100.00000,132.19998,200.30000,,,,
2025-03-16T05:44:18+00:00,13,35.37729,32.47619,35.29670,100.00000,133.03333,197.60002,,,,
2025-03-16T05:44:39+00:00,14,34.89378,29.17216,35.94139,100.00000,127.49998,201.70000,,,,
2025-03-16T05:45:01+00:00,15,32.71795,28.16000,33.92674,100.00000,136.59999,194.50000,,,,
2025-03-16T05:45:22+00:00,16,37.39194,34.97436,36.26374,100.00000,129.03333,200.80000,,,,
2025-03-16T05:45:43+00:00,17,36.18315,30.94506,36.10256,100.10001,136.13333,194.70000,,,,
2025-03-16T05:46:05+00:00,18,35.21612,31.75092,35.05494,100.30000,134.13333,201.70001,,,,
2025-03-16T05:46:26+00:00,19,36.42491,33.60439,32.47619,500.00000,132.43333,197.20000,,,,
2025-03-16T05:46:48+00:00,20,34.41026,31.34799,36.18315,100.00000,100.00000,100.00000,,,,
2025-03-16T05:47:09+00:00,21,35.61905,31.18681,34.81319,100.10000,132.26666,203.80000,,,,
2025-03-16T05:47:30+00:00,22,35.69963,34.16850,36.26374,100.00000,128.56665,196.60001,,,,
